BRILLO LABIAL SEN CEREZA X 15 ML,4539,,8211,,Ventas,11193,7835
SPANISH FLY BODY X 5 ML,3090,,2083,,Ventas,4193,2935
ANILLO SEN VIBRADOR,2161,,8211,,Ventas,12593,8815
FIREFOX WOMEN SUPPLIES,3394,,4641,,Ventas,6993,4895
TAPA OJOS SATI?N,2325,,6500,,Ventas,8393,5875
DICKALICIOUS COJIN,3132,,4463,,Ventas,6293,4405
LUB. INTIMO SEN FRIO MENTA SACHET X 7 ML,1483,,1790,,Ventas,4193,2935
PICO DE BOTELLA DESPEDIDA DE SOLTERA,2740,,9900,,Ventas,15393,10775
ACEITE TANTRA + DADOS,4216,,4641,,Ventas,6993,4895
LUB. INTIMO ANAL POCKET PLEASURE X 4 ML,1449,,2650,,Ventas,4193,2935
LUB. INTIMO FLAVOR MIX FRESA X 10 ML,1464,,3490,,Ventas,5593,3915
LUB. INTIMO FLAVOR MIX CEREZA X 10 ML,1465,,3490,,Ventas,5593,3915
LUB. INTIMO MULTI POCKET PLEASURE X 4 ML,1451,,2650,,Ventas,4893,3425
LUB. INTIMO SEN CALIENTE CREMA DE WHISKY X 30 ML,1322,,6890,,Ventas,10493,7345
VELAS AROMA?TICAS SEN X 3 UNIDADES,7367,,5462,,Ventas,8393,5875
LOCION PHEROMONAS TOUCHME X 15 ML,6378,,14387,,Ventas,18893,13225
LUB.INTIMO ANAL SEN X 20 GR,1177,,10490,,Ventas,16093,11265
SEX LOVE CHICLE ESTIMULANTE X 5 ML,3713,,5831,,Ventas,9093,6365
LUB. INTIMO SEN NEUTRAL X 30 ML,1205,,6290,,Ventas,9093,6365
LUB. INTIMO SEN SACHET CALIENTEX 7 ML,1663,,1890,,Ventas,3493,2445
EXFOLIANTE FRUTOS ROJOS X 250 ML,7400,,14506,,Ventas,20993,14695
BODY MIST ATTRACT CON DESTELLOS X 130 ML,7494,,15351,,Ventas,20993,14695
PERFUME PHEROMONAS ATTRACT X 15 ML,6493,,14387,,Ventas,18893,13225
LUB.INT. EYACULATION BL. POW SPRAY X 10 ML,5440,,7900,,Ventas,11893,8325
RAMPANT BUNNY VIBRATOR,2994,,33900,,Ventas,53193,37235
SENSUAL WARMING PASSION X 60 ML,4171,,11293,,Ventas,13993,9795
ACEITE Grande Transparente PARA MASAJES Y AROMATERAPIA X 240 ML SEN,4373,,20111,,Ventas,27293,19105
BODY PAINT CHOCOLATE X 30 ML,7701,,8913,,Ventas,11893,8325
MAXMAN CAPSULA IV X 1 UNIDAD,3131,,1904,,Ventas,4893,3425
MAXMAN HIPERTENSOS X 1UNIDAD,3127,,2261,,Ventas,3493,2445
FURUNBAO X 2 UNIDAD,3396,,6049,,Ventas,9093,6365
HUEVO VIBRADOR LITTLE CHERRY,2892,,22900,,Ventas,33593,23515
X-10 BEADS,2244,,12500,,Ventas,18893,13225
LOVERS SUPERSTRAPON,2886,,42900,,Ventas,62993,44095
PETALOS DE ROSAS,2365,,4900,,Ventas,6993,
SPLASH BODY MIST SENSUAL RED X 55 ML,7418,,14387,,Ventas,18893,13225
MAXMAN COFFEE SOBRE,3662,,3915,,Ventas,6293,4405
TOY CLEANER SEN X 30 ML,2198,,6129,,Ventas,9093,6365
ACEITE Peque�o Lila PARA MASAJES SEN X 30 ML SENSUAL,4291,,4986,,Ventas,6993,
LUB. INTIMO RETARDANTE XXX TIME SPRAY,1774,,12190,,Ventas,18193,12735
LUB. INTMO RETARDANTE XXX TIME X 7ML,1478,,2990,,Ventas,5593,3915
JUEGO DE MESA ESCALERA TANTRICA,2304,,13450,,Ventas,18893,13225
ESTRECHANTE TANTRA X 6 ML,5278,,3320,,Ventas,6293,4405
ORGASMIX COJIN,4110,,4165,,Ventas,6293,4405
PIRINOLA QUITA PRENDAS,2303,,2290,,Ventas,3493,2445
Vibrador conejo,2902,,12900,Bala con funda ,Ventas,39193,
HUEVO MASTURBADOR GENESYS,2468,,13900,,Ventas,20993,14695
PONGALE EL BESO NENE,2366,,5490,,Ventas,10493,7345
CHUPO ADULTO SEXY X 3,2363,,2790,,Ventas,4193,2935
VIBRATING TONGUE (TEASER),2166,,15351,,Ventas,20993,14695
DADOS EROTICOS LUMINOSOS,2390,,4463,,Ventas,6993,4895
BALA VIBRADORA SEN,2140,,12971,,Ventas,19593,13715
NUEVO ITEM,1,,8700,,Ventas,6300,4410
BAHAMAS,Bahamas,,4848,,Ventas,9093,6365
BARCELONA,Barcelona,,4493,,Ventas,10493,7345
BELICE,Belice,,4493,,Ventas,9093,6365
BERLIN NEGRO,Berlin negro,,4848,,Ventas,9793,6855
BERLIN ROJO,Berlin rojo,,4848,,Ventas,9793,6855
BILBAO,Bilbao,,10879,,Ventas,20993,14695
BOMBAI,Bombai,,6586,,Ventas,18893,13225
Vibrador paste fun egg,2862,,0,,Ventas,41293,
BUENOS AIRES,Buenos Aires,,4493,,Ventas,10493,7345
CAIRO,Cairo,,7686,,Ventas,13293,9305
CARNAVAL NEGRO,Carnaval negro,,7048,,Ventas,13293,9305
CARNAVAL ROJO,Carnaval rojo,,7048,,Ventas,13293,9305
CHICAGO,Chicago,,14427,,Ventas,24493,17145
DUBAI,Dubai,,18330,,Ventas,30093,21065
ESTAMBUL,Estambul,,5557,,Ventas,9093,6365
GATICA,Gatica,,10170,,Ventas,18893,13225
HONOLULU,Honolulu,,4848,,Ventas,9093,6365
LAS VEGAS,Las Vegas,,11234,,Ventas,18893,13225
LIGA TENTACION,Liga tentacion,,4138,,Ventas,6993,4895
LISBOA NEGRO,Lisboa negro,,8396,,Ventas,20993,14695
LISBOA ROJO,Lisboa rojo,,8396,,Ventas,20993,14695
LONDRES,Londres,,18330,,Ventas,30093,21065
MADRID NEGRO - L,Madrid negro - L,,16556,,Ventas,28693,20085
MADRID NEGRO - M,Madrid negro - M,,16556,,Ventas,28693,20085
MADRID ROJO,Madrid Rojo,,16556,,Ventas,28693,20085
MARRUECOS - NEGRO,Marruecos - negro,,7686,,Ventas,13293,9305
MARRUECOS - ROJO,Marruecos - rojo,,7686,,Ventas,13293,9305
MIAMI,Miami,,15421,,Ventas,25893,18125
MOSCU,Moscu,,15421,,Ventas,27293,19105
MUCAMA,Mucama,,12795,,Ventas,25893,18125
NUEVA YORK,New York,,14427,,Ventas,25193,17635
PARIS,Paris,,21168,,Ventas,34293,24005
PIRATA,Pirata,,23652,,Ventas,39893,27925
PORTUGAL,Portugal,,4493,,Ventas,10493,7345
PRAGA,Praga,,18330,,Ventas,30093,21065
SAN FRANCISCO,San Francisco,,4848,,Ventas,11893,8325
SANTORINI AZUL,Santorini Azul,,12653,,Ventas,23793,16655
TOKIO,Tokio,,5557,,Ventas,9793,6855
VIENA,Viena,,17266,,Ventas,27993,19595
LIQUID VIRGIN ESTRECHANTE COJIN,1098,,3500,,Ventas,6293,4405
KIT EXTASIS,1538,,12900,,Ventas,23093,16165
ESPOSAS DE METAL,2327,,13900,,Ventas,25193,17635
DILATADOR ANAL MEDIUM SILVER,2020,,25900,,Ventas,35728,25010
DILATADOR ANAL SMALL SILVER,2019,,43475,,Ventas,30433,
AMAZONAS LIGUERO,,,6533,,Ventas,13293,9305
PLUMP COJIN,3380,,5343,,Ventas,8393,5875
Env�o a la ciudad /domicilio,,,0,,Ventas,10000,
Saschet Multiorgasmos SEN,1423,,2990,,Ventas,4893,3425
Lub menta 60 ml,1204,,9190,,Ventas,13993,9795
Lub multiorgasmos sen 7 ml,,,2990,,Ventas,4893,3425
Kit Extremo,1537,,17495,,Ventas,27993,19595
Bolas Chinas Smart love balls,2215,,17900,,Ventas,32893,23025
Vibrador 10 velocidades,21081,,21301,,Ventas,32893,23025
Cat�logo F�sico Edici�n 1,,,0,,Ventas,0,
Lub intimo underwater silicona 30 ml,1192,,7690,,Ventas,12593,8815
lub flavor mix multisabor,Regalo,,3490,Regalo,Ventas,0,0
Saschet flavor mix 7 ml,Regalo.,,0,Regalo.,Ventas,0,0
Regalo lenceria,,,0,,Ventas,0,0
ANTIFAZ encaje negro,Antifaz,,2425,Antifaz,Ventas,11193,7835
CROACIA,Croacia,,12750,,Ventas,26593,18615
MEDIAS VELADAS NEGRAS,Media veladas negras,,8000,,Ventas,9093,6365
DUBLIN NEGRO,Dublin negro,,3918,,Ventas,9793,6855
MARSELLA,Marsella,,14959,,Ventas,30093,21065
ATLANTA,Atlanta,,15315,,Ventas,30793,
PERSIA,Persia,,5382,,Ventas,11893,8325
NAPOLI,Napoli,,5699,,Ventas,13293,9305
SEUL,Seul,,6767,,Ventas,14693,10285
FLORENCIA,Florencia,,3918,,Ventas,9793,6855
RUSIA NEGRA,Rusia negra,,7479,,Ventas,25893,18125
PLUMAS BLANCAS,Plumas blancas,,3205,,Ventas,9793,6855
RUSIA ROJO,Rusia rojo,,7479,,Ventas,25893,
NUEVA YORK ROJO,Nueva York rojo,,13178,,Ventas,25193,17635
DUBLIN ROJO,Dublin rojo,,3918,,Ventas,9793,6855
KIT FETISH,Kit fetish,,18876,,Ventas,44093,30865
ENFERMERA,Enfermera,,12109,,Ventas,27293,19105
Arousal saschet for her 3 ml,1591,,8500,,Ventas,11193,7835
Vibrador Punto G hierbabuena,2531,,0,,Ventas,41297,
Gel de ducha,4880,,3000,,Ventas,5593,
NUEVO ITEM,,,17924,,Ventas,0,
Brillo Sen Cereza,,,6900,,Ventas,9990,
Sicilia,Sicilia,,10800,,Ventas,19593,
Serbia,Serbia,,18800,,Ventas,33593,
Oslo,Oslo,,9700,,Ventas,18193,
Canc�n,Canc�n,,15800,,Ventas,30093,
Body heat 10 ml,1027,,3690,,Ventas,6293,
Mentol chino,1092,,900,,Ventas,2793,
Sildenafil,3120,,1000,,Ventas,2093,
Lub Nipple Effect,1288,,2550,,Ventas,4893,
Prolonging 7ml,1308A,,4190,,Ventas,8393,
Lub. sen trio,1413,,2190,,Ventas,4893,
Lub sen natural saschet 7 ml,1484,,1790,,Ventas,4193,
Quipitos Sexuales BJ blast,3027,,4900,,Ventas,9093,
Max power woman coffee,3661,,3500,,Ventas,6293,
Jab�n �ntimo 30 ml,4903,,1765,,Ventas,5593,
Anillo siempre fuerte 1 unidad,21085,,2417,,Ventas,5593,
Aceite Trifasico,4002,,4800,,Ventas,7693,
Pirinola posiciones,2300,,2390,,Ventas,6993,
Dados Hombres,2502,,4500,,Ventas,6993,
Analese,1055,,0,,Ventas,4193,
Velas de soja para masajes 15 gr,4001,,2900,,Ingresos no operacionales,5593,
Huevo vibrador rosa strong bullet,21083,,15900,Huevo vibrador rosa ,Ventas,28693,
Funda Vibradora,2181A,,9500,,Ventas,18893,
Dados x 3 penitencia,2298,,4500,,Ventas,9793,
Esferas er�ticas - Erotic Ball,1046,,4500,,Ventas,9793,
Arousal cool,1138,,2200,,Ventas,4193,
Retardex,1071,,2200,,Ventas,4193,
Kit rapidito,1444,,8590,,Ventas,13293,
Enema,21064,,17900,,Ventas,32193,
Vibrador Labial,2155,,19900,,Ventas,31493,
Tapa ojos cuero,2324,,5900,,Ventas,12593,
Vibrador discreto cherry pepper,2397,,10900,,Ventas,19593,
Dilatador anal,2781,,11900,,Ventas,20993,
Juego Cincuenta sombras,2846,,23900,,Ventas,39893,
Bomba de crecimiento Aeropop,2938,,25900,,Ventas,41293,
Gold Fly Estimulante de deseo femenino,3806,,0,,Ventas,6293,
Catalogo F�sico Edici�n 2,,,0,,Ventas,12000,
Dely Penis X 5 ml,3861,,2690,,Ventas,6293,
Lub. intimo sen Euforia x 30ml,1905,,15000,,Ingresos por Inter�s,23093,
Bolas chinas Vibradoras,2897,,23900,,Ventas,41293,
Exfoliante  30 ML,4890,,0,,Ventas,6993,
